judul,cleaned_judul,topic
Polymeric nanoparticles for drug delivery,polymeric nanoparticles drug delivery,3
The pillars of trustworthiness in qualitative research,pillar trustworthiness qualitative research,0
Rivers: form and process in alluvial channels,river form process alluvial channel,-1
Identification of mobile genetic elements with geNomad,identification mobile genetic element genomad,2
Fundamentals of veterinary clinical pathology,fundamental veterinary clinical pathology,-1
Augmenting large language models with chemistry tools,augmenting large language model chemistry tool,0
Highly accurate blood test for Alzheimer's disease is similar or superior to clinical cerebrospinal fluid tests,highly accurate blood test alzheimers disease similar superior clinical cerebrospinal fluid test,2
Landscape Ecology: A Task-Oriented Perspective,landscape ecology taskoriented perspective,5
The spirit of democracy: The struggle to build free societies throughout the world,spirit democracy struggle build free society throughout world,-1
Sense and nonsense: Evolutionary perspectives on human behaviour,sense nonsense evolutionary perspective human behaviour,4
Secular movements in production and prices,secular movement production price,-1
Comprehensive classroom management: Creating communities of support and solving problems,comprehensive classroom management creating community support solving problem,-1
Fractional quantum anomalous Hall effect in multilayer graphene,fractional quantum anomalous hall effect multilayer graphene,3
Durvalumab after chemoradiotherapy in limited-stage small-cell lung cancer,durvalumab chemoradiotherapy limitedstage smallcell lung cancer,2
Educational testing and measurement,educational testing measurement,5
Landscape: politics and perspectives,landscape politics perspective,5
The cell biology of ferroptosis,cell biology ferroptosis,2
High-entropy materials for energy and electronic applications,highentropy material energy electronic application,3
Crisis intervention strategies,crisis intervention strategy,5
Lectures on the calculus of variations and optimal control theory,lecture calculus variation optimal control theory,3
Dynamic 3d gaussians: Tracking by persistent dynamic view synthesis,dynamic gaussians tracking persistent dynamic view synthesis,-1
How nations negotiate,nation negotiate,1
"Global age-sex-specific mortality, life expectancy, and population estimates in 204 countries and territories and 811 subnational locations, 1950–2021, and …",global agesexspecific mortality life expectancy population estimate country territory subnational location – …,2
Electoral change: Responses to evolving social and attitudinal structures in Western countries,electoral change response evolving social attitudinal structure western country,-1
Introduction: Regional innovation systems–an evolutionary approach,introduction regional innovation systems–an evolutionary approach,1
Democracy in America: Vol. 1,democracy america vol,1
Buried interface molecular hybrid for inverted perovskite solar cells,buried interface molecular hybrid inverted perovskite solar cell,3
EULAR recommendations for the management of systemic lupus erythematosus: 2023 update,eular recommendation management systemic lupus erythematosus update,2
A first course in Sobolev spaces,first course sobolev space,-1
Toward a concept of workable competition,toward concept workable competition,-1
ChatGPT makes medicine easy to swallow: an exploratory case study on simplified radiology reports,chatgpt make medicine easy swallow exploratory case study simplified radiology report,2
Artificial intelligence in drug discovery and development,artificial intelligence drug discovery development,3
Repvit: Revisiting mobile cnn from vit perspective,repvit revisiting mobile cnn vit perspective,0
Design principles for strong and tough hydrogels,design principle strong tough hydrogel,3
π-Extended nonfullerene acceptor for compressed molecular packing in organic solar cells to achieve over 20% efficiency,πextended nonfullerene acceptor compressed molecular packing organic solar cell achieve efficiency,3
